PLAYER_NAME,TEAM_ABBREVIATION,PTS,REB,AST,PLUS_MINUS,PLAYER_ID
Taj Gibson,DET,34,37,11,-29,201959
Talen Horton-Tucker,UTA,516,121,177,-107,1629659
Tari Eason,HOU,215,153,27,88,1631106
Taurean Prince,LAL,697,230,119,-118,1627752
Taylor Hendricks,UTA,292,185,32,-150,1641707
Tazé Moore,POR,18,8,5,-22,1631386
Terance Mann,LAC,658,254,119,52,1629611
Terquavion Smith,PHI,52,4,12,-7,1631173
Terry Rozier,MIA,1205,247,342,-292,1626179
Terry Taylor,CHI,46,37,10,16,1630678
Thaddeus Young,PHX,137,103,57,-40,201152
Thanasis Antetokounmpo,MIL,32,13,17,-40,203648
Theo Maledon,PHX,59,24,28,-65,1630177
Thomas Bryant,MIA,217,141,23,11,1628418
Tim Hardaway Jr.,DAL,1139,254,139,13,203501
Timmy Allen,MEM,13,17,5,-65,1641851
Tobias Harris,PHI,1204,453,217,224,202699
Torrey Craig,CHI,303,217,58,-181,1628470
Tosan Evbuomwan,DET,101,60,16,-128,1641787
Toumani Camara,POR,527,343,87,-189,1641739
Trae Young,ATL,1389,149,583,-116,1629027
Trayce Jackson-Davis,GSW,540,341,82,32,1631218
Tre Jones,SAS,771,289,478,-22,1630200
Tre Mann,CHA,382,149,165,-127,1630544
Trendon Watford,BKN,432,194,81,-73,1630570
Trent Forrest,ATL,83,51,92,-94,1630235
Trevelin Queen,ORL,40,20,18,-9,1630243
Trey Jemison III,MEM,171,134,27,-110,1641998
Trey Lyles,SAC,419,257,72,179,1626168
Trey Murphy III,NOP,842,280,124,265,1630530
Tristan Thompson,CLE,161,174,51,-13,202684
Tristan Vukcevic,WAS,85,36,13,32,1641774
Troy Brown Jr.,DET,247,144,60,-127,1628972
Ty Jerome,CLE,4,1,3,-14,1629660
